PARAM01,PARAM02,PARAM03,PARAM04,PARAM05,PARAM06,PARAM07,LABEL
'POSEDGE','-3V','PIN02','TEST20.SOF','9442','/TESTPATH/PR14',1117',2
'POSEDGE','-3V','PIN04','TEST15.SOF','8271','/TESTPATH/PR01','8481',1
'POSEDGE','-9V','PIN01','TEST15.SOF',2972','/TESTPATH/PR14','5032',1
'NEGEDGE','-9V','PIN02','TEST15.SOF','3338','/TESTPATH/PR02','6328',1
'POSEDGE','-2V','PIN03','TEST15.SOF','7331','/TESTPATH/PR02','4495',2
'NEGEDGE','-2V','PIN04','TEST15.SOF','5808','/TESTPATH/PR01','3179',2
'POSEDGE','-9V','PIN02','TEST01.SOF','4786','/TESTPATH/PR14',1733',2
'NEGEDGE','-2V','PIN01','TEST01.SOF','9466','/TESTPATH/PR02','7611',2
'NEGEDGE','-9V','PIN04','TEST01.SOF',2690','/TESTPATH/PR02',2837',2
'POSEDGE','-3V','PIN04','TEST08.SOF','8934','???','6785',2
'POSEDGE','-3V','PIN02','TEST20.SOF','9582','/TESTPATH/PR14','9545',1
'NEGEDGE','-2V','PIN04','TEST01.SOF',2614','/TESTPATH/PR14','4230',1
'POSEDGE','-2V','PIN01','TEST15.SOF','7131','???','6250',1
'POSEDGE','-2V','PIN01','TEST15.SOF','7754','???','5313',2
'POSEDGE','-2V','PIN01','TEST20.SOF','3827','???','6518',1
'POSEDGE','-2V','PIN04','TEST01.SOF',2123','???',2195',2
'POSEDGE','-5V','PIN01','TEST15.SOF','5814','/TESTPATH/PR02',1247',2
'NEGEDGE','-3V','PIN04','TEST08.SOF','4039','/TESTPATH/PR14','8626',2
'NEGEDGE','-2V','PIN03','TEST08.SOF','6863','/TESTPATH/PR14','4774',2
'POSEDGE','-3V','PIN02','TEST20.SOF','7403','/TESTPATH/PR01','7051',1
'POSEDGE','-3V','PIN03','TEST08.SOF','8581','/TESTPATH/PR01','8972',2
'POSEDGE','-9V','PIN04','TEST15.SOF','9484','/TESTPATH/PR14','8867',2
'POSEDGE','-9V','PIN01','TEST15.SOF','5742','/TESTPATH/PR02',2391',1
'POSEDGE','-5V','PIN04','TEST20.SOF','4604','???',2362',1
'POSEDGE','-5V','PIN03','TEST08.SOF',1082','/TESTPATH/PR14','6891',1
'POSEDGE','-5V','PIN02','TEST15.SOF','3992','/TESTPATH/PR02','7603',2
'POSEDGE','-5V','PIN04','TEST08.SOF','5632','/TESTPATH/PR02','3363',1
'NEGEDGE','-9V','PIN04','TEST15.SOF','5712','/TESTPATH/PR01','4609',1
'NEGEDGE','-9V','PIN02','TEST20.SOF',1708','/TESTPATH/PR02','9147',1
'POSEDGE','-5V','PIN03','TEST20.SOF',1554','/TESTPATH/PR01','5187',1
'POSEDGE','-9V','PIN02','TEST15.SOF','6724','/TESTPATH/PR01','5053',2
'NEGEDGE','-2V','PIN03','TEST01.SOF',2014','???',2687',2
'POSEDGE','-2V','PIN03','TEST08.SOF','9514','/TESTPATH/PR14','8596',2
'NEGEDGE','-5V','PIN01','TEST15.SOF','3482','/TESTPATH/PR02','4921',1
'NEGEDGE','-5V','PIN03','TEST15.SOF','5799','/TESTPATH/PR14',2576',2
'POSEDGE','-2V','PIN03','TEST15.SOF','9488','/TESTPATH/PR14',2497',2
'POSEDGE','-2V','PIN02','TEST08.SOF','3342','???','9300',1
'NEGEDGE','-3V','PIN03','TEST20.SOF','6060','/TESTPATH/PR02','6004',1
'POSEDGE','-5V','PIN04','TEST01.SOF',1614','/TESTPATH/PR01','3655',2
'NEGEDGE','-5V','PIN04','TEST20.SOF','7756','/TESTPATH/PR02','5105',1
'NEGEDGE','-5V','PIN01','TEST20.SOF','5914','/TESTPATH/PR02','6448',1
'POSEDGE','-2V','PIN04','TEST08.SOF',2409','???','4576',2
'POSEDGE','-2V','PIN01','TEST15.SOF','6801','/TESTPATH/PR14','5008',2
'NEGEDGE','-5V','PIN03','TEST08.SOF','7442','/TESTPATH/PR14',1245',2
'NEGEDGE','-5V','PIN04','TEST20.SOF','4061','/TESTPATH/PR01','6483',1
'NEGEDGE','-3V','PIN04','TEST08.SOF','3360','/TESTPATH/PR14',2398',1
'NEGEDGE','-9V','PIN03','TEST15.SOF','6038','/TESTPATH/PR01','8980',1
'NEGEDGE','-9V','PIN01','TEST08.SOF','9766','???','6865',2
'NEGEDGE','-9V','PIN01','TEST01.SOF','6113','/TESTPATH/PR02',2843',2
'POSEDGE','-3V','PIN01','TEST15.SOF',1637','/TESTPATH/PR02','8215',1
'NEGEDGE','-9V','PIN01','TEST15.SOF','6255','/TESTPATH/PR02','3546',1
'NEGEDGE','-9V','PIN01','TEST01.SOF','8394','???','8369',1
'NEGEDGE','-3V','PIN04','TEST15.SOF','5426','???','4553',1
'POSEDGE','-5V','PIN01','TEST15.SOF',1058','/TESTPATH/PR02',2570',2
'POSEDGE','-5V','PIN01','TEST20.SOF',2516','/TESTPATH/PR02','9380',1
'POSEDGE','-3V','PIN03','TEST20.SOF',2043','/TESTPATH/PR14',1151',1
'NEGEDGE','-9V','PIN04','TEST08.SOF','4395','/TESTPATH/PR01','8027',1
'NEGEDGE','-5V','PIN03','TEST08.SOF','9086','/TESTPATH/PR14','7345',1
'POSEDGE','-5V','PIN04','TEST15.SOF','6653','???','8785',2
'NEGEDGE','-9V','PIN04','TEST15.SOF',2450','/TESTPATH/PR01','8000',2
'NEGEDGE','-2V','PIN04','TEST20.SOF','6596','/TESTPATH/PR01','6895',1
'POSEDGE','-5V','PIN01','TEST15.SOF',1893','/TESTPATH/PR01','5955',2
'POSEDGE','-5V','PIN04','TEST20.SOF','7479','/TESTPATH/PR02','6924',1
'NEGEDGE','-3V','PIN03','TEST01.SOF','8924','???','8928',1
'POSEDGE','-5V','PIN04','TEST01.SOF','8566','???','8765',2
'POSEDGE','-9V','PIN03','TEST08.SOF','9027','???','3073',2
'NEGEDGE','-5V','PIN03','TEST20.SOF','8877','/TESTPATH/PR02','5936',1
'POSEDGE','-9V','PIN04','TEST01.SOF','5903','/TESTPATH/PR14','7857',2
'NEGEDGE','-9V','PIN01','TEST15.SOF','9203','/TESTPATH/PR02','7886',1
'NEGEDGE','-2V','PIN01','TEST01.SOF','9138','/TESTPATH/PR14',1719',2
'POSEDGE','-5V','PIN01','TEST01.SOF','5629','/TESTPATH/PR14','8757',2
'POSEDGE','-2V','PIN03','TEST08.SOF','4783','/TESTPATH/PR02','7328',2
'POSEDGE','-2V','PIN03','TEST01.SOF','5753','/TESTPATH/PR02','8228',1
'NEGEDGE','-3V','PIN01','TEST08.SOF','3174','???','3434',2
'NEGEDGE','-5V','PIN03','TEST20.SOF','3966','/TESTPATH/PR01','3942',1
'NEGEDGE','-3V','PIN01','TEST01.SOF','3306','/TESTPATH/PR01','3827',2
'NEGEDGE','-2V','PIN01','TEST08.SOF','3470','/TESTPATH/PR01',2710',1
'POSEDGE','-3V','PIN02','TEST20.SOF',1789','/TESTPATH/PR01',2495',2
'NEGEDGE','-3V','PIN04','TEST20.SOF','8140','/TESTPATH/PR01','3379',2
'NEGEDGE','-5V','PIN02','TEST01.SOF',2403','/TESTPATH/PR14','7247',1
'POSEDGE','-9V','PIN03','TEST20.SOF',1126','???','4142',1
'NEGEDGE','-2V','PIN01','TEST20.SOF','7009','???','7065',1
'POSEDGE','-5V','PIN01','TEST01.SOF',1012','/TESTPATH/PR01','3468',1
'POSEDGE','-3V','PIN03','TEST01.SOF',2115','/TESTPATH/PR01','9432',1
'POSEDGE','-9V','PIN04','TEST01.SOF','9731','/TESTPATH/PR14','8279',2
'NEGEDGE','-9V','PIN04','TEST08.SOF',2122','/TESTPATH/PR02','3117',2
'POSEDGE','-5V','PIN02','TEST20.SOF','8848','/TESTPATH/PR01','7439',1
'POSEDGE','-2V','PIN03','TEST15.SOF','9486','/TESTPATH/PR01','8255',2
'NEGEDGE','-5V','PIN03','TEST15.SOF','5261','/TESTPATH/PR02','4991',2
'NEGEDGE','-3V','PIN03','TEST01.SOF',2853','???',2241',1
'POSEDGE','-9V','PIN01','TEST20.SOF','9779','???','4030',2
'POSEDGE','-3V','PIN01','TEST15.SOF','7251','/TESTPATH/PR02','4464',2
'NEGEDGE','-2V','PIN04','TEST15.SOF',2898','/TESTPATH/PR14','4184',1
'NEGEDGE','-3V','PIN03','TEST20.SOF',2037','/TESTPATH/PR14',2437',1
'NEGEDGE','-5V','PIN04','TEST15.SOF','6205','/TESTPATH/PR02',1795',2
'NEGEDGE','-2V','PIN04','TEST01.SOF','3557','/TESTPATH/PR01',1761',2
'POSEDGE','-2V','PIN04','TEST08.SOF','7426','/TESTPATH/PR02','6907',2
'POSEDGE','-2V','PIN03','TEST08.SOF','5646','/TESTPATH/PR01','7723',2
'NEGEDGE','-3V','PIN04','TEST08.SOF','5167','/TESTPATH/PR01','8071',1
'NEGEDGE','-9V','PIN01','TEST20.SOF','8787','/TESTPATH/PR01',2625',1
'POSEDGE','-9V','PIN02','TEST20.SOF','6204','/TESTPATH/PR02','5116',1
'NEGEDGE','-5V','PIN02','TEST15.SOF',1229','/TESTPATH/PR01','8409',2
'POSEDGE','-9V','PIN02','TEST20.SOF',2473','/TESTPATH/PR02','7051',2
'NEGEDGE','-2V','PIN03','TEST20.SOF',2701','/TESTPATH/PR01','9779',2
'NEGEDGE','-5V','PIN02','TEST08.SOF','8708','???','3938',2
'POSEDGE','-5V','PIN03','TEST15.SOF','8033','???',1936',2
'POSEDGE','-9V','PIN04','TEST01.SOF','3338','/TESTPATH/PR01',2000',2
'NEGEDGE','-9V','PIN02','TEST01.SOF',1357','/TESTPATH/PR01','7038',2
'POSEDGE','-2V','PIN04','TEST01.SOF','3471','/TESTPATH/PR01','4753',1
'NEGEDGE','-3V','PIN03','TEST20.SOF','4628','/TESTPATH/PR01','3948',2
'POSEDGE','-5V','PIN01','TEST20.SOF','6994','/TESTPATH/PR02','8766',2
'POSEDGE','-5V','PIN03','TEST15.SOF',2965','/TESTPATH/PR14',1391',1
'NEGEDGE','-5V','PIN02','TEST01.SOF','9642','/TESTPATH/PR14','9394',1
'POSEDGE','-2V','PIN03','TEST08.SOF','4693','/TESTPATH/PR02',1756',1
'POSEDGE','-5V','PIN03','TEST20.SOF','3395','???','7226',1
'NEGEDGE','-9V','PIN01','TEST20.SOF','8857','/TESTPATH/PR14','5296',1
'NEGEDGE','-3V','PIN04','TEST20.SOF',2663','/TESTPATH/PR01','8679',2
'POSEDGE','-2V','PIN02','TEST20.SOF','4324','/TESTPATH/PR02','4115',2
'POSEDGE','-9V','PIN04','TEST08.SOF',1593','???','8229',2
'POSEDGE','-2V','PIN02','TEST01.SOF',2789','/TESTPATH/PR01','3283',1
'POSEDGE','-9V','PIN01','TEST15.SOF',1022','/TESTPATH/PR14','5514',2
'NEGEDGE','-2V','PIN01','TEST20.SOF','8736','/TESTPATH/PR01','6848',2
'POSEDGE','-5V','PIN04','TEST20.SOF','3422','/TESTPATH/PR02','4152',1
'POSEDGE','-5V','PIN03','TEST20.SOF',2971','???','8723',1
'NEGEDGE','-3V','PIN01','TEST15.SOF','9193','/TESTPATH/PR02','5733',2
'POSEDGE','-9V','PIN03','TEST15.SOF','8783','???','6772',1
'NEGEDGE','-5V','PIN01','TEST20.SOF','3979','/TESTPATH/PR02','9576',2
'POSEDGE','-5V','PIN01','TEST20.SOF','9816','???','7294',2
'POSEDGE','-3V','PIN01','TEST01.SOF','5344','/TESTPATH/PR01','5171',2
'POSEDGE','-5V','PIN04','TEST08.SOF',1307','/TESTPATH/PR14','3363',1
'POSEDGE','-9V','PIN04','TEST01.SOF','5956','/TESTPATH/PR14','4394',1
'POSEDGE','-9V','PIN02','TEST15.SOF',1649','/TESTPATH/PR02',2895',1
'NEGEDGE','-5V','PIN02','TEST08.SOF','4344','/TESTPATH/PR02','4190',2
'NEGEDGE','-9V','PIN02','TEST08.SOF','8154','/TESTPATH/PR02','9339',2
'POSEDGE','-9V','PIN04','TEST01.SOF','7796','/TESTPATH/PR14','3099',2
'NEGEDGE','-2V','PIN01','TEST15.SOF','8813','/TESTPATH/PR01',1986',1
'NEGEDGE','-2V','PIN04','TEST08.SOF','7838','???','3559',1
'NEGEDGE','-3V','PIN02','TEST08.SOF','3602','/TESTPATH/PR14','7951',2
'NEGEDGE','-2V','PIN02','TEST01.SOF',2012','/TESTPATH/PR01','9022',1
'POSEDGE','-2V','PIN01','TEST15.SOF','6932','/TESTPATH/PR14',2500',2
'POSEDGE','-5V','PIN02','TEST01.SOF','5784','???','3823',2
'NEGEDGE','-5V','PIN01','TEST08.SOF','8183','/TESTPATH/PR14','3804',2
'NEGEDGE','-3V','PIN01','TEST01.SOF','3911','???',2212',2
'NEGEDGE','-9V','PIN04','TEST20.SOF',1381','/TESTPATH/PR01','8155',2
'POSEDGE','-3V','PIN01','TEST01.SOF','3639','???','4238',2
'NEGEDGE','-3V','PIN04','TEST15.SOF','9391','/TESTPATH/PR02','4439',2
'NEGEDGE','-3V','PIN02','TEST01.SOF','4160','/TESTPATH/PR14',1055',1
'POSEDGE','-2V','PIN02','TEST15.SOF','5685','/TESTPATH/PR14','8976',2
'POSEDGE','-3V','PIN03','TEST08.SOF','4355','???','9801',1
'POSEDGE','-3V','PIN03','TEST15.SOF','5919','/TESTPATH/PR01','3308',1
'NEGEDGE','-3V','PIN03','TEST08.SOF','6076','/TESTPATH/PR01','8302',2
'NEGEDGE','-3V','PIN03','TEST20.SOF','9823','???',1534',2
'NEGEDGE','-5V','PIN03','TEST08.SOF','6976','/TESTPATH/PR02','5409',2
'POSEDGE','-5V','PIN03','TEST08.SOF',2136','/TESTPATH/PR02','5156',1
'POSEDGE','-9V','PIN04','TEST15.SOF',2789','/TESTPATH/PR14','9123',1
'POSEDGE','-9V','PIN03','TEST01.SOF','4727','/TESTPATH/PR01','7433',1
'POSEDGE','-2V','PIN01','TEST15.SOF','6102','/TESTPATH/PR14',1293',2
'POSEDGE','-9V','PIN04','TEST15.SOF','3673','/TESTPATH/PR02','8516',2
'NEGEDGE','-3V','PIN04','TEST01.SOF',2329','/TESTPATH/PR14','5809',2
'NEGEDGE','-3V','PIN03','TEST08.SOF','7889','/TESTPATH/PR14','7602',2
'POSEDGE','-3V','PIN03','TEST20.SOF','7301','/TESTPATH/PR02','3293',1
'POSEDGE','-9V','PIN02','TEST15.SOF','6127','/TESTPATH/PR01',2520',1
'NEGEDGE','-5V','PIN01','TEST01.SOF','7025','/TESTPATH/PR02','3068',2
'POSEDGE','-3V','PIN04','TEST08.SOF',1188','/TESTPATH/PR14','5098',2
'NEGEDGE','-9V','PIN03','TEST08.SOF','4245','/TESTPATH/PR14','5715',1
'POSEDGE','-5V','PIN03','TEST15.SOF','8219','/TESTPATH/PR02','5255',2
'NEGEDGE','-9V','PIN04','TEST15.SOF','3044','/TESTPATH/PR01','5447',2
'NEGEDGE','-2V','PIN04','TEST01.SOF','6955','/TESTPATH/PR02',2327',1
'NEGEDGE','-9V','PIN02','TEST08.SOF',2037','/TESTPATH/PR14','7548',1
'NEGEDGE','-5V','PIN04','TEST01.SOF','5189','/TESTPATH/PR02','7682',1
'POSEDGE','-3V','PIN03','TEST01.SOF','4499','/TESTPATH/PR14',2930',2
'POSEDGE','-2V','PIN04','TEST01.SOF','8269','/TESTPATH/PR02','3655',1
'POSEDGE','-3V','PIN04','TEST01.SOF','6290','/TESTPATH/PR14','5823',1
'NEGEDGE','-2V','PIN03','TEST08.SOF','8330','???','6356',1
'NEGEDGE','-3V','PIN03','TEST20.SOF','9918','/TESTPATH/PR02','7045',1
'POSEDGE','-2V','PIN01','TEST15.SOF','8473','???','7255',2
'NEGEDGE','-2V','PIN01','TEST08.SOF','5677','/TESTPATH/PR01',1294',1
'NEGEDGE','-9V','PIN04','TEST01.SOF','3429','/TESTPATH/PR01','4105',2
'NEGEDGE','-2V','PIN04','TEST15.SOF','5657','???','7659',2
'NEGEDGE','-2V','PIN04','TEST20.SOF','4347','/TESTPATH/PR14','3321',2
'POSEDGE','-9V','PIN02','TEST15.SOF','9085','???','3250',1
'NEGEDGE','-3V','PIN02','TEST01.SOF','6975','/TESTPATH/PR02',1200',2
'POSEDGE','-3V','PIN02','TEST20.SOF',2434','/TESTPATH/PR02','3243',1
'POSEDGE','-9V','PIN02','TEST20.SOF',1778','???','8632',2
'NEGEDGE','-2V','PIN03','TEST08.SOF','6709','/TESTPATH/PR01','6094',1
'NEGEDGE','-2V','PIN04','TEST01.SOF','5166','???','3357',2
'POSEDGE','-9V','PIN03','TEST08.SOF','4038','/TESTPATH/PR14',1377',1
'POSEDGE','-9V','PIN02','TEST15.SOF','3692','/TESTPATH/PR02','4545',1
'POSEDGE','-5V','PIN02','TEST15.SOF','9955','/TESTPATH/PR01','6508',2
'POSEDGE','-5V','PIN02','TEST15.SOF','8965','/TESTPATH/PR01','6369',1
'POSEDGE','-3V','PIN04','TEST15.SOF','5976','/TESTPATH/PR01','7203',2
'NEGEDGE','-5V','PIN04','TEST15.SOF','9627','/TESTPATH/PR01',1034',2
'POSEDGE','-5V','PIN02','TEST20.SOF','5791','/TESTPATH/PR14',2529',2
'NEGEDGE','-5V','PIN03','TEST01.SOF',2864','/TESTPATH/PR01','5832',2
'NEGEDGE','-3V','PIN04','TEST20.SOF','7355','???','3137',2
'NEGEDGE','-2V','PIN03','TEST20.SOF','8523','???','7067',2
'NEGEDGE','-3V','PIN04','TEST01.SOF',2518','/TESTPATH/PR01',1972',1
'NEGEDGE','-3V','PIN01','TEST15.SOF',1688','/TESTPATH/PR02',2872',2
'POSEDGE','-2V','PIN04','TEST20.SOF',2150','/TESTPATH/PR01','5178',2
'NEGEDGE','-9V','PIN01','TEST20.SOF','9474','/TESTPATH/PR14',1623',1
'NEGEDGE','-5V','PIN01','TEST08.SOF','9987','/TESTPATH/PR14','3568',1
'NEGEDGE','-9V','PIN04','TEST20.SOF','8309','???','3891',2
'POSEDGE','-5V','PIN04','TEST15.SOF','9044','/TESTPATH/PR01',2909',2
'POSEDGE','-5V','PIN01','TEST15.SOF','6759','???','6280',2
'NEGEDGE','-3V','PIN01','TEST01.SOF','5068','/TESTPATH/PR01','8003',1
'NEGEDGE','-5V','PIN02','TEST08.SOF','3654','/TESTPATH/PR01',1849',1
'NEGEDGE','-9V','PIN04','TEST01.SOF','4018','/TESTPATH/PR02',2343',1
'NEGEDGE','-2V','PIN02','TEST15.SOF','7264','/TESTPATH/PR14','3066',1
'POSEDGE','-2V','PIN01','TEST15.SOF','8201','/TESTPATH/PR01','4329',2
'POSEDGE','-2V','PIN03','TEST20.SOF','5182','/TESTPATH/PR01','3527',2
'POSEDGE','-5V','PIN03','TEST01.SOF','9417','/TESTPATH/PR14','9234',2
'NEGEDGE','-3V','PIN02','TEST20.SOF','6671','???','6288',2
'POSEDGE','-5V','PIN02','TEST20.SOF',2623','/TESTPATH/PR14','3353',2
'NEGEDGE','-2V','PIN03','TEST20.SOF','7560','/TESTPATH/PR01','4933',1
'NEGEDGE','-2V','PIN02','TEST20.SOF','9960','/TESTPATH/PR02','4117',1
'NEGEDGE','-5V','PIN01','TEST20.SOF','3191','/TESTPATH/PR14','8552',2
'POSEDGE','-9V','PIN04','TEST20.SOF','6457','/TESTPATH/PR01','5505',1
'NEGEDGE','-2V','PIN02','TEST15.SOF','3666','/TESTPATH/PR14','3022',1
'POSEDGE','-3V','PIN01','TEST15.SOF',1704','/TESTPATH/PR01','8829',1
'POSEDGE','-9V','PIN03','TEST01.SOF',1318','/TESTPATH/PR02','5650',2
'POSEDGE','-2V','PIN03','TEST15.SOF','5604','???','6813',1
'NEGEDGE','-2V','PIN03','TEST20.SOF',2244','/TESTPATH/PR01','6720',1
'NEGEDGE','-3V','PIN02','TEST01.SOF',2854','/TESTPATH/PR14','9478',1
'POSEDGE','-9V','PIN02','TEST01.SOF','9541','/TESTPATH/PR02','7479',2
'POSEDGE','-9V','PIN02','TEST20.SOF','3404','/TESTPATH/PR02',1914',1
'NEGEDGE','-2V','PIN01','TEST15.SOF','9551','/TESTPATH/PR14','7783',2
'POSEDGE','-5V','PIN02','TEST01.SOF','4883','???','5819',2
'NEGEDGE','-5V','PIN02','TEST08.SOF','6782','/TESTPATH/PR01','6325',1
'POSEDGE','-3V','PIN01','TEST20.SOF',1689','/TESTPATH/PR02',2755',1
'NEGEDGE','-9V','PIN02','TEST15.SOF','3587','/TESTPATH/PR02','3487',2
'NEGEDGE','-3V','PIN04','TEST08.SOF',1534','/TESTPATH/PR01','4965',2
'NEGEDGE','-5V','PIN01','TEST08.SOF',1869','/TESTPATH/PR01','7115',1
'POSEDGE','-9V','PIN01','TEST08.SOF','6072','/TESTPATH/PR14','3503',2
'POSEDGE','-3V','PIN03','TEST08.SOF','7389','/TESTPATH/PR02','5081',1
'POSEDGE','-9V','PIN02','TEST08.SOF','8206','/TESTPATH/PR14','9062',2
'POSEDGE','-3V','PIN04','TEST15.SOF','7468','/TESTPATH/PR14',1108',2
'NEGEDGE','-2V','PIN01','TEST20.SOF','3040','/TESTPATH/PR01','5244',2
'POSEDGE','-9V','PIN03','TEST08.SOF','7117','???','5941',2
'POSEDGE','-9V','PIN02','TEST01.SOF','6514','/TESTPATH/PR01','5081',1
'POSEDGE','-3V','PIN01','TEST15.SOF','6250','/TESTPATH/PR14','6318',2
'POSEDGE','-9V','PIN01','TEST15.SOF','6077','/TESTPATH/PR01',2237',1
'NEGEDGE','-2V','PIN02','TEST01.SOF','3881','/TESTPATH/PR01',1602',1
'POSEDGE','-3V','PIN03','TEST20.SOF','7917','???','9714',1
'NEGEDGE','-3V','PIN02','TEST01.SOF','8073','/TESTPATH/PR14','5364',1
'POSEDGE','-3V','PIN03','TEST15.SOF','8467','/TESTPATH/PR02','8199',1
'NEGEDGE','-2V','PIN02','TEST01.SOF','9757','???',2675',2
'POSEDGE','-3V','PIN01','TEST01.SOF','6870','/TESTPATH/PR02','3767',1
'POSEDGE','-3V','PIN04','TEST01.SOF','7076','/TESTPATH/PR02',2740',2
'POSEDGE','-2V','PIN01','TEST01.SOF',1031','???','9716',2
'POSEDGE','-2V','PIN03','TEST20.SOF',1754','/TESTPATH/PR14','6794',2
'NEGEDGE','-3V','PIN02','TEST01.SOF',1126','/TESTPATH/PR02','6709',2
'POSEDGE','-9V','PIN03','TEST01.SOF','8395','/TESTPATH/PR01',2613',2
'POSEDGE','-5V','PIN01','TEST20.SOF',1439','???','5865',1
'POSEDGE','-2V','PIN01','TEST01.SOF','9339','/TESTPATH/PR01','9340',1
'NEGEDGE','-3V','PIN04','TEST08.SOF','8379','/TESTPATH/PR01','6474',2
'POSEDGE','-9V','PIN02','TEST20.SOF',1494','???','6780',2
'NEGEDGE','-5V','PIN01','TEST08.SOF',1163','/TESTPATH/PR01','6627',2
'POSEDGE','-2V','PIN03','TEST15.SOF','8352','/TESTPATH/PR02','7000',2
'POSEDGE','-5V','PIN02','TEST08.SOF','5446','/TESTPATH/PR01','3765',1
'POSEDGE','-3V','PIN04','TEST01.SOF','8000','/TESTPATH/PR14','3499',1
'NEGEDGE','-2V','PIN02','TEST01.SOF',2330','/TESTPATH/PR02',1060',2
'NEGEDGE','-9V','PIN04','TEST20.SOF','3950','???',2411',2
'POSEDGE','-5V','PIN03','TEST08.SOF','4417','/TESTPATH/PR14','8847',2
'POSEDGE','-3V','PIN04','TEST15.SOF','6410','/TESTPATH/PR01','6091',2
